Sentence,Response
Check the status of ambient music,Ambient music is currently playing
Is ambient music playing?,Ambient music status: active
What's the ambient music status?,Ambient music is on
Play ambient music,Playing ambient music now
Start ambient music,Ambient music started
Put on some ambient music,Ambient music is playing
Stop ambient music,Ambient music stopped
Turn off ambient music,Ambient music has been stopped
Pause ambient music,Ambient music paused
Check the current artist,Current artist is playing
Who's the artist playing?,Artist information retrieved
What artist is this?,Displaying artist details
Play music by this artist,Playing artist’s music
Start artist’s songs,Artist’s music started
Check music device status,Device is active
What's the music device status?,Music device is connected
Is the music device on?,Device status: on
Play music in all rooms,Multi-room music enabled
Sync music across rooms,Multi-room sync activated
Start multi-room music,Music playing in all rooms
Switch to another music device,Switched to new device
Change music device,Device changed successfully
Sync volume across devices,Volume synchronized
Set volume for all music devices,All devices volume adjusted
Adjust equalizer settings,Equalizer updated
Change equalizer for music,Equalizer settings changed
Check music sources,Available sources listed
What music sources are active?,Source status retrieved
List music sources,Sources displayed
Play from multiple sources,Playing from all sources
Start multi-source music,Music from multiple sources started
Combine music sources,Multi-source playback active
Sync music sources,Sources synchronized
Align music sources,Source sync complete
Unify music sources,Sources unified
Check playback status,Playback is active
What's playing now?,Current track displayed
Is music playing?,Playback status: on
Loop current track,Track looping enabled
Repeat this song,Song set to loop
Enable song loop,Loop mode activated
Pause the music,Music paused
Hold music playback,Music is paused.
Stop music temporarily,Music temporarily stopped
Play the current track,Track playing
Start music playback,Music started
Resume music now,Playback resumed
Play previous track,Previous track playing
Go back to last song,Last song started
Replay previous song,Playing previous song
Repeat current playlist,Playlist repeat enabled
Set playlist to repeat,Playlist repeating
Enable repeat mode,Repeat mode on
Restart current song,Song restarted
Play song from start,Song playing from beginning
Reset current track,Track reset
Resume music playback,Music resumed
Continue playing music,music continued.
Start music again,music resumed.
Skip to next track,Next track playing
Play next song,Next song started
Go to next track,Track skipped
Stop music playback,Music stopped
Turn off music,Music turned off
Halt music playback,Playback halted
Change music speed,Speed adjusted
Set playback speed,Playback speed updated
Modify music tempo,Tempo changed
Check playback speed,Current speed displayed
What's the music speed?,Playback speed retrieved
Show playback speed,Speed information shown
Reset music speed,Speed reset to default
Set speed to normal,Playback speed normalized
Restore default speed,Default speed restored
Add song to playlist,Song added
Put song in playlist,Playlist updated with song
Check current playlist,Playlist details displayed
Show playlist contents,Playlist shown
Create new playlist,New playlist created
Start a new playlist,Playlist started
Make a playlist,Playlist created
Delete playlist,Playlist removed
Remove playlist,Playlist deleted
Erase playlist,Playlist erased
Remove song from playlist,Song removed from playlist.
Delete song from playlist,Song deleted from playlist
Take song off playlist,Song taken off
Reorder playlist songs,Playlist reordered
Change playlist order,Playlist order updated
Shuffle playlist songs,Playlist rearranged
Select a playlist,Playlist selected
Choose playlist,Playlist chosen
Switch to playlist,Switched to playlist
Shuffle playlist,Playlist shuffled
Randomize playlist,Playlist randomized
Mix playlist songs,Playlist mixed
Play podcast,Podcast playing
Start podcast,Podcast started
Listen to podcast,Podcast playback active
Next podcast episode,Podcast skipped
Go to next podcast,Next podcast started
Turn off music system,System powered off
Shut down music device,Music device off
Power off music,Music system turned off
Turn on music system,music System powered on.
Start music device,Music device on
Power on music,Music system activated
Add song to queue,Song added to queue
Queue this song,Song queued
Put song in queue,Queue updated
Show queue status,Queue shown
Clear music queue,Queue cleared
Empty queue,Queue emptied
Remove all from queue,Queue reset
Play radio,Radio playing
Start radio station,Radio started
Cancel music schedule,Schedule canceled
Stop scheduled music,Scheduled music stopped
Remove music schedule,Schedule removed
Check music schedule,Schedule details displayed
Show music schedule,Schedule shown
What's the music schedule?,Schedule retrieved
Play scheduled music,Music schedule started
Start music schedule,Schedule activated
Stop scheduled music,Scheduled music stopped
Halt music schedule,Schedule halted
End music schedule,Schedule ended
Check sleep timer status,Sleep timer details shown
What's the sleep timer?,Sleep timer status retrieved
Show sleep timer,Sleep timer displayed
Set sleep timer,Sleep timer set
Activate sleep timer,Sleep timer activated
Check current song,Song details displayed
What's the current song?,Song information shown
Play this song,Song playing
Start this song,Song started
Check music source,Source details displayed
What's the current source?,Source information shown
Show music source,Source displayed
Switch music source,Source switched
Change music source,Source changed
Check music status,Music status displayed
Show music system status,Status shown
Check voice control status,Voice control is active
Is voice control on?,Voice control status: on
Show voice control settings,Voice control settings displayed
Disable voice control,Voice control disabled
Turn off voice control,Voice control turned off
Stop voice control,Voice control stopped
Enable voice control,Voice control enabled
Turn on voice control,Voice control activated
Start voice control,Voice control started
Adjust music volume,Volume adjusted
Check volume level,Volume level displayed
What's the volume?,Volume status shown
Show volume level,Volume displayed
Mute music,Music muted
Turn off sound,Sound muted
Silence music,Music is turned off.
Unmute music,Music unmuted
Restore sound,Sound restored
Turn sound back on,Music sound on
Turn on all cameras,All cameras activated
Activate all cameras,All cameras turned on
Start all cameras,Cameras started
Enable all cameras,All cameras enabled
Power on all cameras,All cameras powered on
Switch on all cameras,Cameras switched on
Turn all cameras on,All cameras on
Activate camera system,Camera system activated
Check attic camera status,Attic camera status retrieved
Show attic camera,Attic camera status shown
What's the attic camera status?,Attic camera details displayed
Attic camera check,Status checked
View attic camera,Attic camera view active
Monitor attic camera,Camera monitored
Display attic camera,Attic camera displayed
Check attic camera feed,Feed checked
Show attic camera feed,Attic feed shown
Attic camera status check,Status retrieved
Turn on attic camera,Attic camera activated
Activate attic camera,Attic camera turned on
Start attic camera,Attic camera started
Enable attic camera,Attic camera enabled
Power on attic camera,Attic camera powered on
Switch on attic camera,Attic camera switched on
Turn attic camera on,Attic camera on
Activate attic camera system,Attic camera system activated
Start attic surveillance,Surveillance started
Enable attic monitoring,Monitoring enabled
Check backyard camera status,Backyard camera status retrieved
Show backyard camera,Backyard camera status shown
What's the backyard camera status?,Backyard camera details displayed
Backyard camera check,Status checked
View backyard camera,Backyard camera view active
Monitor backyard camera,Camera monitored
Turn on backyard camera,Backyard camera activated
Activate backyard camera,Backyard camera turned on
Start backyard camera,Backyard camera started
Enable backyard camera,Backyard camera enabled
Power on backyard camera,Backyard camera powered on
Switch on backyard camera,Backyard camera switched on
Turn backyard camera on,Backyard camera on
Activate backyard camera system,Backyard camera system activated
Start backyard surveillance,Surveillance started
Check basement camera status,Basement camera status retrieved
Show basement camera,Basement camera status shown
What's the basement camera status?,Basement camera details displayed
Basement camera check,Status checked
View basement camera,Basement camera view active
Monitor basement camera,Basement camera monitoring.
Display basement camera,Basement camera displayed
Check basement camera feed,Feed checked
Show basement camera feed,Basement feed shown
Basement camera status check,Status retrieved
Turn on basement camera,Basement camera activated
Activate basement camera,Basement camera turned on
Start basement camera,Basement camera started
Enable basement camera,Basement camera enabled
Power on basement camera,Basement camera powered on
Switch on basement camera,Basement camera switched on
Check bathroom camera status,Bathroom camera status retrieved
Show bathroom camera,Bathroom camera status shown
What's the bathroom camera status?,Bathroom camera details displayed
Bathroom camera check,Status checked
View bathroom camera,Bathroom camera view active
Monitor bathroom camera,Camera monitored
Display bathroom camera,Bathroom camera displayed
Check bathroom camera feed,Feed checked
Show bathroom camera feed,Bathroom feed shown
Turn on bathroom camera,Bathroom camera activated
Activate bathroom camera,Bathroom camera turned on
Start bathroom camera,Bathroom camera started
Enable bathroom camera,Bathroom camera enabled
Power on bathroom camera,Bathroom camera powered on
Switch on bathroom camera,Bathroom camera switched on
Turn bathroom camera on,Bathroom camera on
Activate bathroom camera system,Bathroom camera system activated
Start bathroom surveillance,Surveillance started
Enable bathroom monitoring,Monitoring enabled
Check cellar camera status,Cellar camera status retrieved
Show cellar camera,Cellar camera status shown
What's the cellar camera status?,Cellar camera details displayed
Cellar camera check,Status checked
View cellar camera,Cellar camera view active
Monitor cellar camera,Camera monitored
Display cellar camera,Cellar camera displayed
Check cellar camera feed,Feed checked
Show cellar camera feed,Cellar feed shown
Turn on cellar camera,Cellar camera activated
Activate cellar camera,Cellar camera turned on
Start cellar camera,Cellar camera started
Enable cellar camera,Cellar camera enabled
Power on cellar camera,Cellar camera powered on
Switch on cellar camera,Cellar camera switched on
Turn cellar camera on,Cellar camera on
Activate cellar camera system,Cellar camera system activated
Start cellar surveillance,Surveillance started
Check dining room camera status,Dining room camera status retrieved
Show dining room camera,Dining room camera status shown
What's the dining room camera status?,Dining room camera details displayed
Dining room camera check,Status checked
View dining room camera,Dining room camera view active
Monitor dining room camera,Camera monitored
Display dining room camera,Dining room camera displayed
Check dining room camera feed,Feed checked
Show dining room camera feed,Dining room feed shown
Dining room camera status check,Status retrieved
View dining room surveillance,Surveillance view active
Check kitchen camera status,Kitchen camera status retrieved
Show kitchen camera,Kitchen camera status shown
What's the kitchen camera status?,Kitchen camera details displayed
Kitchen camera check,Status checked
