category,subcategory,action,sentence,response
music,ambient,check,check the status of ambient music,ambient music is currently playing
music,ambient,check,is ambient music playing?,ambient music status: active
music,ambient,check,what's the ambient music status?,ambient music is on
music,ambient,play,play ambient music,playing ambient music now
music,ambient,play,start ambient music,ambient music started
music,ambient,play,put on some ambient music,ambient music is playing
music,ambient,stop,stop ambient music,ambient music stopped
music,ambient,stop,turn off ambient music,ambient music has been stopped
music,ambient,stop,pause ambient music,ambient music paused
music,artist,check,check the current artist,current artist is playing
music,artist,check,who's the artist playing?,artist information retrieved
music,artist,check,what artist is this?,displaying artist details
music,artist,play,play music by this artist,playing artist’s music
music,artist,play,start artist’s songs,artist’s music started
music,device,check,check music device status,device is active
music,device,check,what's the music device status?,music device is connected
music,device,check,is the music device on?,device status: on
music,device,multiroom,play music in all rooms,all rooms music enabled
music,device,multiroom,sync music across rooms,all rooms sync activated
music,device,multiroom,start multi room music,music playing in all rooms
music,device,switchdevice,switch to another music device,switched to new device
music,device,switchdevice,change music device,device changed successfully
music,device,volumesync,sync volume across devices,volume synchronized
music,device,volumesync,set volume for all music devices to 50 percent,all devices volume adjusted to 50 percent.
music,device,volumesync,set volume for all music devices to 70 percent,all devices volume adjusted to 70 percent.
music,device,volumesync,set volume for all music devices to 80 percent,all devices volume adjusted to 80 percent.
music,device,volumesync,set volume for all music devices to 20 percent,all devices volume adjusted to 20 percent.
music,equalizer,adjust,adjust equalizer settings,equalizer updated
music,equalizer,adjust,change equalizer for music,equalizer settings changed
music,multisource,check,check music sources,available sources listed
music,multisource,check,what music sources are active?,source status retrieved
music,multisource,check,list music sources,sources retrieved
music,multisource,play,play from multiple sources,playing from all sources
music,multisource,play,start multi source music,music from multiple sources started
music,multisource,play,combine music sources,multi source playback active
music,multisource,sync,sync music sources,sources synchronized
music,multisource,sync,align music sources,source sync complete
music,multisource,sync,unify music sources,sources unified
music,playback,check,check playback status,playback is active
music,playback,check,what's playing now?,current track retrieved
music,playback,check,is music playing?,playback status: on
music,playback,loop,loop current track,track looping enabled
music,playback,loop,repeat this song,song set to loop
music,playback,loop,enable song loop,loop mode activated
music,playback,pause,pause the music,music paused
music,playback,pause,hold music playback,music is paused.
music,playback,pause,stop music temporarily,music temporarily stopped
music,playback,play,play the current track,track playing
music,playback,play,start music playback,music started
music,playback,play,resume music now,playback resumed
music,playback,previous,play previous track,previous track playing
music,playback,previous,go back to last song,last song started
music,playback,previous,replay previous song,playing previous song
music,playback,repeat,repeat current playlist,playlist repeat enabled
music,playback,repeat,set playlist to repeat,playlist repeating
music,playback,repeat,enable repeat mode,repeat mode on
music,playback,restart,restart current song,song restarted
music,playback,restart,play song from start,song playing from beginning
music,playback,restart,reset current track,track reset
music,playback,resume,resume music playback,music resumed
music,playback,resume,continue playing music,music continued.
music,playback,resume,start music again,music resumed.
music,playback,skip,skip to next track,next track playing
music,playback,skip,play next song,next song started
music,playback,skip,go to next track,track skipped
music,playback,stop,stop music playback,music stopped
music,playback,stop,turn off music,music turned off
