Model,Category,Subcategory,Action,Sentence,Expected,Generated,ROUGE-L (%),Cosine Similarity (%),Edit Distance Similarity (%),Latency (sec),First-Token Latency (sec),Generation Time (sec),Throughput (tokens/sec),Memory Before (GiB),Memory After (GiB),Model Size (GiB),Intent Accuracy (%)
Llama-3.2-1B-Merged,music,device,multiroom,start multi room music now,multi room music started.,multi room music started now,88.8888888888889,100.0,85.71428571428572,0.0007639879768248647,0.2645937530032825,0.4340325689991005,41.47154219672696,2.471630336,2.4810624,2.488907441,100.0
Llama-3.2-1B-Merged,lights,dining room,on,switch on dining room lights,dining room lights switched on,dining room lights switched on.,100.0,100.0,96.7741935483871,0.0002761300129350275,0.04725192999467254,0.3499339589907322,48.580595175817834,2.480150016,2.4810624,2.488907441,100.0
Llama-3.2-1B-Merged,camera,basement,on,engage monitoring now,monitoring engaged now,monitoring engaged now.,100.0,100.0,95.65217391304348,0.0002650679962243885,0.04728874901775271,0.25030766101554036,51.93608516517956,2.480150016,2.480996352,2.488907441,100.0
Llama-3.2-1B-Merged,lights,cellar,off,power off cellar lights,cellar lights powered off,cellar lights powered off.,100.0,100.0,96.15384615384616,0.00026548097957856953,0.04737096501048654,0.3000891279953066,49.985149746026785,2.480150016,2.481029632,2.488907441,100.0
Llama-3.2-1B-Merged,music,playback,check,assess playback condition,playback status retrieved,playback status retrieved.,100.0,100.0,96.15384615384616,0.00026813699514605105,0.04726500200922601,0.25026487998547964,51.94496327552735,2.480150016,2.480996352,2.488907441,100.0
Llama-3.2-1B-Merged,camera,all,on,activate cameras today,cameras activated today,cameras activated today.,100.0,100.0,95.83333333333334,0.0002611179952509701,0.047189764998620376,0.29996769700665027,43.337999823733654,2.480150016,2.480996352,2.488907441,100.0
Llama-3.2-1B-Merged,music,playlist,create,form new playlist,new playlist formed,new playlist  formed.,100.0,100.0,90.47619047619048,0.0002602259919513017,0.04720498001552187,0.2502060730184894,55.95387766213591,2.480150016,2.480996352,2.488907441,100.0
Llama-3.2-1B-Merged,music,source,switchsource,update source after 20 minutes,source will be updated after 20 minutes.,source will be updated after 20 minutes,100.0,100.0,97.5,0.0002719180192798376,0.04733212600694969,0.5488565120031126,41.90530584407016,2.480150016,2.481095168,2.488907441,100.0
Llama-3.2-1B-Merged,music,voicecontrol,disable,deactivate voice today,voice deactivated today,voice deactivated today.,100.0,100.0,95.83333333333334,0.00026289201923646033,0.04719708001357503,0.2502154529793188,51.95522436847454,2.480150016,2.480996352,2.488907441,100.0
Llama-3.2-1B-Merged,music,podcast,skip,advance to next episode,next episode advanced,next episode advanced.,100.0,100.0,95.45454545454545,0.0002664150088094175,0.04720453600748442,0.2008573269995395,69.70121632671183,2.480150016,2.481029632,2.488907441,100.0
Llama-3.2-1B-Merged,camera,all,statusquery,did you see any movement tonight?,yes there was some movement detected tonight.,yes there was some movement detected tonight,100.0,100.0,97.77777777777777,0.0002779669885057956,0.04720867000287399,0.4493971609917935,46.72926716682904,2.480150016,2.481095168,2.488907441,100.0
Llama-3.2-1B-Merged,music,volume,unmute,activate audio tonight,audio activated tonight.,audio activated tonight,100.0,100.0,95.83333333333334,0.0002697909949347377,0.04719008499523625,0.34993140300503,40.00784119337458,2.480150016,2.480996352,2.488907441,100.0
Llama-3.2-1B-Merged,camera,attic,statusquery,inspect camera now,camera inspected now,camera inspected now.,100.0,100.0,95.23809523809523,0.0002662409970071167,0.04723938598181121,0.2999121279863175,43.34602967637601,2.480150016,2.480996352,2.488907441,100.0
Llama-3.2-1B-Merged,music,playback,restart,restart playback in 10 minutes,playback will restart in 10 minutes.,playback will restart in 10 minutes,100.0,100.0,97.22222222222221,0.0002777129993773997,0.0472929350216873,0.4990430650068447,42.08053667615233,2.480150016,2.481095168,2.488907441,100.0
Llama-3.2-1B-Merged,shutters,cellar,up,open shades now,shades opened now for the cellar.,shades opened now.,66.66666666666666,100.0,54.54545454545454,0.00026532201445661485,0.04720519599504769,0.29990911000641063,43.34646586668248,2.480150016,2.480996352,2.488907441,100.0
Llama-3.2-1B-Merged,music,artist,play,start artist’s music,artist music playing,artist’s music started,57.14285714285715,100.0,63.63636363636363,0.0002667639928404242,0.04725609300658107,0.29996757599292323,53.33909822432765,2.480150016,2.481029632,2.488907441,100.0
Llama-3.2-1B-Merged,lights,random,off,switch off lights randomly tomorrow,random lights will be switched off tomorrow,random lights will be switched off tomorrow.,100.0,100.0,97.72727272727273,0.00027174700517207384,0.04721952902036719,0.4492718299734406,42.2906550831892,2.480150016,2.4810624,2.488907441,100.0
Llama-3.2-1B-Merged,lights,kitchen,statusquery,is the kitchen light active after 30 minutes?,kitchen light will be retrieved in 30 minutes,kitchen light will be retrieved in 30 minutes.,100.0,100.0,97.82608695652173,0.0002781819785013795,0.0473544170090463,0.5491797650174703,45.522434715351736,2.480150016,2.481193472,2.488907441,100.0
Llama-3.2-1B-Merged,music,schedule,play,begin schedule immediately,schedule began immediately,schedule began immediately.,100.0,100.0,96.2962962962963,0.0002672799746505916,0.047198403015499935,0.2504429279942997,51.908033914600665,2.480150016,2.480996352,2.488907441,100.0
Llama-3.2-1B-Merged,music,queue,add,include track in queue in 40 minutes,song will be added to queue in 40 minutes.,song will be added to queue in 40 minutes,100.0,100.0,97.61904761904762,0.0002742840151768178,0.04727268198621459,0.64847413401003,40.09412039185183,2.480150016,2.481160704,2.488907441,100.0
Llama-3.2-1B-Merged,camera,attic,statusquery,verify status at 10 pm,status will be verified at 10 pm.,status will be verified at 10 pm,100.0,100.0,96.96969696969697,0.00026626899489201605,0.04722048999974504,0.5488401470065583,40.0845312063826,2.480150016,2.481095168,2.488907441,100.0
Llama-3.2-1B-Merged,camera,all,on,power all cameras on,all cameras turned on,all cameras powered on.,75.0,100.0,73.91304347826086,0.0002786469995044172,0.04741684801410884,0.3030883359897416,49.49052213117067,2.480150016,2.481029632,2.488907441,100.0
Llama-3.2-1B-Merged,music,voicecontrol,disable,end voice control,voice control ended,voice control ended.,100.0,100.0,95.0,0.0003764060093089938,0.04718414298258722,0.25020580799900927,51.95722714818625,2.480150016,2.480996352,2.488907441,100.0
Llama-3.2-1B-Merged,camera,attic,statusquery,"review attic feed this afternoon, 2 pm",attic feed will be reviewed this afternoon.,attic feed will be reviewed this afternoon,100.0,100.0,97.67441860465115,0.00027491000946611166,0.04726168600609526,0.5988663559837732,40.07571933236186,2.480150016,2.481193472,2.488907441,100.0
Llama-3.2-1B-Merged,shutters,kitchen,statusquery,verify blinds now,blinds verified now,blinds verified now.,100.0,100.0,95.0,0.00026601701392792165,0.047174409992294386,0.2501928909914568,51.95990960608031,2.480150016,2.480996352,2.488907441,100.0
Llama-3.2-1B-Merged,music,playlist,create,generate playlist,playlist generated,playlist generated.,100.0,100.0,94.73684210526316,0.00028433199622668326,0.0474182820180431,0.20225894000031985,54.38572950091899,2.480150016,2.480963584,2.488907441,100.0
Llama-3.2-1B-Merged,shutters,library,down,close shutters now,shutters closed now,shutters closed now.,100.0,100.0,95.0,0.0003050439991056919,0.04733478798880242,0.3512934049940668,42.69934985045718,2.480150016,2.481029632,2.488907441,100.0
Llama-3.2-1B-Merged,music,voicecontrol,enable,enable voice control for the music system,voice control enabled for the music system.,voice control enabled,60.0,100.0,48.837209302325576,0.0003304140118416399,0.04742969898506999,0.4501490780094173,39.98675300990716,2.480150016,2.481127936,2.488907441,100.0
Llama-3.2-1B-Merged,music,equalizer,adjust,set equalizer to bass boost,equalizer set to bass boost.,equalizer set to bass boost,100.0,100.0,96.42857142857143,0.0002803289971780032,0.04725636201328598,0.3997205260093324,50.03495867393373,2.480150016,2.481095168,2.488907441,100.0
Llama-3.2-1B-Merged,music,playlist,delete,remove playlist at 6 pm,playlist will be deleted at 6 pm.,playlist will be deleted at 6 pm,100.0,100.0,96.96969696969697,0.0002687410160433501,0.047192329016979784,0.6481804409995675,35.483946359954025,2.480150016,2.481095168,2.488907441,100.0
Llama-3.2-1B-Merged,music,volume,adjustvolume,set volume today,volume set today,volume set today.,100.0,100.0,94.11764705882352,0.00026848199195228517,0.04718996401061304,0.2998903780244291,43.34917340676072,2.480150016,2.480996352,2.488907441,100.0
Llama-3.2-1B-Merged,camera,living room,statusquery,verify living room camera status,status reviewed,living room status verified.,33.33333333333333,100.0,39.28571428571429,0.0002717360039241612,0.04725279798731208,0.30036148699582554,53.26914632108733,2.480150016,2.4810624,2.488907441,100.0
Llama-3.2-1B-Merged,music,schedule,cancel,stop schedule immediately,schedule stopped immediately,schedule stopped immediately.,100.0,100.0,96.55172413793103,0.00026676198467612267,0.04723836001357995,0.2506083600164857,51.873768293862284,2.480150016,2.480996352,2.488907441,100.0
Llama-3.2-1B-Merged,shutters,none,down,seal window blinds now,window blinds sealed now,window blinds sealed now.,100.0,100.0,96.0,0.00026519401581026614,0.04719700798159465,0.34974922297988087,42.887872265159736,2.480150016,2.481029632,2.488907441,100.0
Llama-3.2-1B-Merged,music,playlist,removesong,drop song from playlist,song dropped from playlist,song dropped from playlist.,100.0,100.0,96.2962962962963,0.00026399100897833705,0.047197717998642474,0.2998968669853639,50.01719474692631,2.480150016,2.481029632,2.488907441,100.0
Llama-3.2-1B-Merged,lights,basement,off,turn off basement lights in 10 minutes,basement lights will turn off in 10 minutes,basement lights will be turned off in 10 minutes,94.11764705882352,80.91712,89.58333333333334,0.0002726120001170784,0.047206741000991315,0.5986729320138693,43.429389587631576,2.480150016,2.481160704,2.488907441,0.0
Llama-3.2-1B-Merged,music,status,check,review music status in 2 hours,music status will be retrieved in 2 hours.,music status will be retrieved in 2 hours,100.0,100.0,97.61904761904762,0.0002747779944911599,0.047269207978388295,0.5489731339912396,43.71798638944504,2.480150016,2.481127936,2.488907441,100.0
Llama-3.2-1B-Merged,shutters,none,down,"close all shutters next friday, june 13",all shutters will be closed next friday.,all shutters will be closed next friday,100.0,100.0,97.5,0.00028640401433221996,0.04978277799091302,0.6057374509982765,44.5737669934442,2.480150016,2.481259008,2.488907441,100.0
Llama-3.2-1B-Merged,music,playbackspeed,adjustspeed,change music speed,speed adjusted.,speed updated,50.0,100.0,60.0,0.0002646080101840198,0.04717055900255218,0.20078172301873565,64.74692917535589,2.480150016,2.480996352,2.488907441,100.0
Llama-3.2-1B-Merged,shutters,cellar,up,raise blinds now,blinds raised now for the cellar.,blinds raised now.,66.66666666666666,100.0,54.54545454545454,0.00025885499780997634,0.0471831529866904,0.2999136889993679,43.345804065740396,2.480150016,2.480996352,2.488907441,100.0
Llama-3.2-1B-Merged,shutters,none,up,"lift all shutters ""next thursday, june 12""",all shutters will be opened next thursday.,all shutters will be opened next thursday,100.0,100.0,97.61904761904762,0.0002958650002256036,0.047496217011939734,0.8048624980146997,37.273447419899654,2.480150016,2.481324544,2.488907441,100.0
Llama-3.2-1B-Merged,lights,library,off,switch off all library lights,all library lights switched off,all library lights switched off.,100.0,100.0,96.875,0.0002641660103108734,0.04722515502362512,0.44915793000836857,37.84860260550952,2.480150016,2.4810624,2.488907441,100.0
Llama-3.2-1B-Merged,music,playlist,reorder,shuffle playlist songs,playlist rearranged,playlist songs shuffled.,40.0,100.0,45.833333333333336,0.00026774100842885673,0.04717040600371547,0.25041064000106417,51.914726945886784,2.480150016,2.480996352,2.488907441,100.0
Llama-3.2-1B-Merged,music,playlist,selectplaylist,choose playlist after 10 minutes,playlist will be chosen after 10 minutes. ,playlist will be chosen after 10 minutes,100.0,100.0,95.23809523809523,0.00027056600083597004,0.04725997900823131,0.847128173976671,27.150554906031726,2.480150016,2.481095168,2.488907441,100.0
Llama-3.2-1B-Merged,music,device,volumesync,set all speakers to the same volume,all speakers set to the same volume.,all speakers set to the same volume,100.0,100.0,97.22222222222221,0.000272651988780126,0.04722555499756709,0.44997172500006855,48.89196093376011,2.480150016,2.481127936,2.488907441,100.0
