Category,Subcategory,Action,Sentence,Response
music,ambient,check,Check the status of ambient music,Ambient music is currently playing
music,ambient,check,Is ambient music playing?,Ambient music status: active
music,ambient,check,What's the ambient music status?,Ambient music is on
music,ambient,play,Play ambient music,Playing ambient music now
music,ambient,play,Start ambient music,Ambient music started
music,ambient,play,Put on some ambient music,Ambient music is playing
music,ambient,stop,Stop ambient music,Ambient music stopped
music,ambient,stop,Turn off ambient music,Ambient music has been stopped
music,ambient,stop,Pause ambient music,Ambient music paused
music,artist,check,Check the current artist,Current artist is playing
music,artist,check,Who's the artist playing?,Artist information retrieved
music,artist,check,What artist is this?,Displaying artist details
music,artist,play,Play music by this artist,Playing artist’s music
music,artist,play,Start artist’s songs,Artist’s music started
music,device,check,Check music device status,Device is active
music,device,check,What's the music device status?,music device is connected
music,device,check,Is the music device on?,Device status: on
music,device,multiroom,Play music in all rooms,all rooms music enabled
music,device,multiroom,Sync music across rooms,all rooms sync activated
music,device,multiroom,Start multi-room music,music playing in all rooms
music,device,switchdevice,Switch to another music device,Switched to new device
music,device,switchdevice,Change music device,Device changed successfully
music,device,volumesync,Sync volume across devices,Volume synchronized
music,device,volumesync,Set volume for all music devices to 50 Percent,All devices volume adjusted to 50 percent.
music,device,volumesync,Set volume for all music devices to 70 Percent,All devices volume adjusted to 70 percent.
music,device,volumesync,Set volume for all music devices to 80 Percent,All devices volume adjusted to 80 percent.
music,device,volumesync,Set volume for all music devices to 20 Percent,All devices volume adjusted to 20 percent.
music,equalizer,adjust,Adjust equalizer settings,Equalizer updated
music,equalizer,adjust,Change equalizer for music,Equalizer settings changed
music,multisource,check,Check music sources,Available sources listed
music,multisource,check,What music sources are active?,Source status retrieved
music,multisource,check,List music sources,Sources retrieved
music,multisource,play,Play from multiple sources,Playing from all sources
music,multisource,play,Start multi-source music,music from multiple sources started
music,multisource,play,Combine music sources,multi-source playback active
music,multisource,sync,Sync music sources,Sources synchronized
music,multisource,sync,Align music sources,Source sync complete
music,multisource,sync,Unify music sources,Sources unified
music,playback,check,Check playback status,Playback is active
music,playback,check,What's playing now?,Current track retrieved
music,playback,check,Is music playing?,Playback status: on
music,playback,loop,Loop current track,Track looping enabled
music,playback,loop,Repeat this song,Song set to loop
music,playback,loop,Enable song loop,Loop mode activated
music,playback,pause,Pause the music,music paused
music,playback,pause,Hold music playback,music is paused.
music,playback,pause,Stop music temporarily,music temporarily stopped
music,playback,play,Play the current track,Track playing
music,playback,play,Start music playback,music started
music,playback,play,Resume music now,Playback resumed
music,playback,previous,Play previous track,Previous track playing
music,playback,previous,Go back to last song,Last song started
music,playback,previous,Replay previous song,Playing previous song
music,playback,repeat,Repeat current playlist,Playlist repeat enabled
music,playback,repeat,Set playlist to repeat,Playlist repeating
music,playback,repeat,Enable repeat mode,Repeat mode on
music,playback,restart,Restart current song,Song restarted
music,playback,restart,Play song from start,Song playing from beginning
music,playback,restart,Reset current track,Track reset
music,playback,resume,Resume music playback,music resumed
music,playback,resume,Continue playing music,music continued.
